pageid,title
226113,Mohammed VI of Morocco
6816005,Chakib Benmoussa
16380245,Ahmed Toufiq
33260617,Aziz Akhannouch
35145122,Nizar Baraka
35976969,Princess Lalla Joumala Alaoui
36318527,Abdellatif Loudiyi
36812035,Mohammed Ameur
36917156,Mustapha Mansouri
36927733,Rachid Talbi Alami
37468300,Fatima-Zahra Mansouri
40681227,Omar Azziman
41873227,Aziz Mekouar
42741777,Rachad Bouhlal
49417229,Chafik Rachadi
54102901,Nasser Bourita
67168941,Khalid Aït Taleb
67282145,Abdellatif Jouahri
67516507,Fouzi Lekjaa
68624641,Abdellatif Ouahbi
68950414,Nadia Fettah Alaoui
68977854,Fatim-Zahra Ammor
69023556,Leila Benali
70266777,Abdelouafi Laftit
