ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q3112640,Q3112640,1998-03-14,11,,,2000-09-06,11,,,Q3112044,Q3112044,Q3112636,Q3112636,,,,
,Q3112163,Q3112163,2002-11-07,11,,,2004-06-08,11,,,Q3112636,Q3112636,Q3112162,Q3112162,,,,
,Q3112162,Q3112162,2004-06-08,11,,,2007-09-19,11,,,Q3112163,Q3112163,Q3112031,El Fassi Government,,,,
,Q3112031,El Fassi Government,2007-10-15,11,,,2012-01-03,11,,,Q3112162,Q3112162,Q3111927,1st Benkiran Cabinet,,,,
,Q3111927,1st Benkiran Cabinet,2011-11-29,11,,,,,,,Q3112031,El Fassi Government,Q15064578,Benkiran II government,,,,
,Q15064578,Benkiran II government,2013-10-10,11,,,2017-04-05,11,,,Q3111927,1st Benkiran Cabinet,Q29034900,Akhnouch Aziz,,,,
,Q29034900,Akhnouch Aziz,2017-04-05,11,,,,,2019-10-09,11,Q15064578,Benkiran II government,Q70220586,El Othmani II government,,,,
,Q70220586,El Othmani II government,2019-10-09,11,,,2021-10-07,11,,,Q29034900,Akhnouch Aziz,Q108828234,Akhannouch Government,,,,
,Q108828234,Akhannouch Government,2021-10-07,11,,,,,,,Q70220586,El Othmani II government,,,,,,
